comune,pro_com_t,lat,long,den_prov,sigla,den_reg,cod_reg,cap,cf,pec,mail,sito_web,wikipedia,stemma
Cerveno,017049,46.002509,10.325791,Brescia,BS,Lombardia,3,25040,980200174,protocollo@pec.comune.cerveno.bs.it,info@comune.cerveno.bs.it,http://comune.cerveno.bs.it,https://it.wikipedia.org/wiki/Cerveno,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017049.jpg
Ceto,017050,46.002595,10.351963,Brescia,BS,Lombardia,3,25040,81002490175,info@pec.comuneceto.eu,info@comune.ceto.bs.it,http://comune.ceto.bs.it,https://it.wikipedia.org/wiki/Ceto,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017050.jpg
Cevo,017051,46.081397,10.368562,Brescia,BS,Lombardia,3,25040,959860172,protocollo@pec.comune.cevo.bs.it,info@comune.cevo.bs.it,http://comune.cevo.bs.it,https://it.wikipedia.org/wiki/Cevo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017051.jpg
Chiari,017052,45.536462,9.928846,Brescia,BS,Lombardia,3,25032,606990174,comunedichiari@legalmail.it,,http://comune.chiari.brescia.it,https://it.wikipedia.org/wiki/Chiari,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017052.jpg
Cigole,017053,45.308636,10.189375,Brescia,BS,Lombardia,3,25020,760060178,protocollo@cert.comune.cigole.bs.it,,http://comune.cigole.bs.it,https://it.wikipedia.org/wiki/Cigole,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017053.jpg
Cimbergo,017054,46.024096,10.365663,Brescia,BS,Lombardia,3,25050,81002590172,info@pec.comunecimbergo.eu,info@comune.cimbergo.bs.it,http://comune.cimbergo.bs.it/,https://it.wikipedia.org/wiki/Cimbergo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017054.jpg
Cividate Camuno,017055,45.942493,10.277462,Brescia,BS,Lombardia,3,25040,895540177,protocollo@pec.comune.cividate-camuno.bs.it,uff.segreteria@comune.cividate-camuno.bs.it,http://comune.cividate-camuno.bs.it,https://it.wikipedia.org/wiki/Cividate_Camuno,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017055.jpg
Coccaglio,017056,45.563448,9.978272,Brescia,BS,Lombardia,3,25030,821390176,protocollo@pec.comune.coccaglio.bs.it,segreteria@comune.coccaglio.bs.it,http://comune.coccaglio.bs.it,https://it.wikipedia.org/wiki/Coccaglio,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017056.jpg
Collebeato,017057,45.581315,10.210271,Brescia,BS,Lombardia,3,25060,853240174,protocollo@pec.comune.collebeato.bs.it,,http://comune.collebeato.bs.it,https://it.wikipedia.org/wiki/Collebeato,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017057.jpg
Collio,017058,45.809312,10.332872,Brescia,BS,Lombardia,3,25060,850830175,protocollo@pec.comune.collio.bs.it,giorgio@comune.collio.bs.it,http://comune.collio.bs.it,https://it.wikipedia.org/wiki/Collio,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017058.jpg
Cologne,017059,45.58152,9.941172,Brescia,BS,Lombardia,3,25033,625410170,comune.cologne@pec.regione.lombardia.it,protocollo@comune.cologne.bs.it,http://comune.cologne.bs.it,https://it.wikipedia.org/wiki/Cologne,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017059.jpg
Comezzano-Cizzago,017060,45.471278,9.950064,Brescia,BS,Lombardia,3,25030,852420173,protocollo@pec.comune.comezzanocizzago.bs.it,,http://comune.comezzanocizzago.bs.it,https://it.wikipedia.org/wiki/Comezzano-Cizzago,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017060.jpg
Concesio,017061,45.605184,10.216967,Brescia,BS,Lombardia,3,25062,350520177,protocollo@pec.comune.concesio.brescia.it,protocollo@comune.concesio.brescia.it,http://comune.concesio.brescia.it,https://it.wikipedia.org/wiki/Concesio,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017061.jpg
Corte Franca,017062,45.637417,10.006468,Brescia,BS,Lombardia,3,25040,789430170,protocollo.comune.cortefranca@pec.regione.lombardia.it,comune@comune.cortefranca.bs.it,http://comune.cortefranca.bs.it,https://it.wikipedia.org/wiki/Corte_Franca,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017062.jpg
Corteno Golgi,017063,46.166198,10.243457,Brescia,BS,Lombardia,3,25040,855280178,protocollo@pec.comune.corteno-golgi.bs.it,info@comune.corteno-golgi.bs.it,http://comune.corteno-golgi.bs.it,https://it.wikipedia.org/wiki/Corteno_Golgi,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017063.jpg
Corzano,017064,45.443778,10.007366,Brescia,BS,Lombardia,3,25030,855670170,comune.corzano@legalmail.it,,http://comune.corzano.bs.it,https://it.wikipedia.org/wiki/Corzano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017064.jpg
Darfo Boario Terme,017065,45.883486,10.180707,Brescia,BS,Lombardia,3,25047,290170174,comune.darfoboarioterme@pec.regione.lombardia.it,sindaco@darfoboarioterme.net,http://darfoboarioterme.gov.it,https://it.wikipedia.org/wiki/Darfo_Boario_Terme,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017065.jpg
Dello,017066,45.41811,10.075203,Brescia,BS,Lombardia,3,25020,88000590179,protocollo@pec.comune.dello.bs.it,,http://comune.dello.bs.it,https://it.wikipedia.org/wiki/Dello,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017066.jpg
Desenzano del Garda,017067,45.469485,10.538947,Brescia,BS,Lombardia,3,25015,575230172,protocollo@pec.comune.desenzano.brescia.it,protocollo@comune.desenzano.brescia.it,http://comune.desenzano.brescia.it,https://it.wikipedia.org/wiki/Desenzano_del_Garda,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017067.jpg
Edolo,017068,46.179375,10.330757,Brescia,BS,Lombardia,3,25048,760070177,protocollo@pec.comune.edolo.bs.it,sindaco@comune.edolo.bs.it,http://comune.edolo.bs.it,https://it.wikipedia.org/wiki/Edolo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017068.jpg
Erbusco,017069,45.5985,9.972216,Brescia,BS,Lombardia,3,25030,759960172,comune.erbusco@pec.regione.lombardia.it,protocollo@comune.erbusco.bs.it,http://comune.erbusco.bs.it,https://it.wikipedia.org/wiki/Erbusco,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017069.jpg
Esine,017070,45.925692,10.250862,Brescia,BS,Lombardia,3,25040,81002230175,protocollo@pec.comune.esine.bs.it,,http://comune.esine.bs.it,https://it.wikipedia.org/wiki/Esine,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017070.jpg
Fiesse,017071,45.231475,10.324177,Brescia,BS,Lombardia,3,25020,88001110175,protocollo.fiesse@legalmail.it,,http://comune.fiesse.bs.it,https://it.wikipedia.org/wiki/Fiesse,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017071.jpg
Flero,017072,45.482887,10.175008,Brescia,BS,Lombardia,3,25020,869010173,protocollo@pec.comune.flero.bs.it,protocollo@comune.flero.bs.it,http://comune.flero.bs.it,https://it.wikipedia.org/wiki/Flero,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017072.jpg
Gambara,017073,45.255246,10.293411,Brescia,BS,Lombardia,3,25020,88001190177,protocollo@pec.comune.gambara.bs.it,comune@comune.gambara.bs.it,http://comune.gambara.bs.it,https://it.wikipedia.org/wiki/Gambara,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017073.jpg
Gardone Riviera,017074,45.618785,10.559101,Brescia,BS,Lombardia,3,25083,368800173,protocollo@pec.comune.gardoneriviera.bs.it,,http://comune.gardoneriviera.bs.it,https://it.wikipedia.org/wiki/Gardone_Riviera,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017074.jpg
Gardone Val Trompia,017075,45.687914,10.183724,Brescia,BS,Lombardia,3,25063,304530173,protocollo@pec.comune.gardonevaltrompia.bs.it,,http://comune.gardonevaltrompia.bs.it,https://it.wikipedia.org/wiki/Gardone_Val_Trompia,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017075.jpg
Gargnano,017076,45.688138,10.663501,Brescia,BS,Lombardia,3,25084,553860172,protocollo@pec.comune.gargnano.bs.it,segreteria@comune.gargnano.bs.it,http://comune.gargnano.bs.it,https://it.wikipedia.org/wiki/Gargnano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017076.gif
Gavardo,017077,45.584627,10.438237,Brescia,BS,Lombardia,3,25085,647290170,protocollo@pec.comune.gavardo.bs.it,protocollo@comune.gavardo.bs.it,http://comune.gavardo.bs.it,https://it.wikipedia.org/wiki/Gavardo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017077.jpg
Ghedi,017078,45.401081,10.279276,Brescia,BS,Lombardia,3,25016,290650175,pecghedi@cert.comune.ghedi.brescia.it,protocollo@comune.ghedi.brescia.it,http://comune.ghedi.brescia.it,https://it.wikipedia.org/wiki/Ghedi,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017078.png
Gianico,017079,45.86453,10.183653,Brescia,BS,Lombardia,3,25040,81001550177,protocollo@pec.comune.gianico.bs.it,info@comune.gianico.bs.it,http://comune.gianico.bs.it,https://it.wikipedia.org/wiki/Gianico,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017079.png
Gottolengo,017080,45.291033,10.269829,Brescia,BS,Lombardia,3,25023,88001290175,protocollo.gottolengo@cert.saga.it,segreteria@gottolengo.com,http://gottolengo.com,https://it.wikipedia.org/wiki/Gottolengo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017080.jpg
Gussago,017081,45.592664,10.15345,Brescia,BS,Lombardia,3,25064,945980175,protocollo@pec.comune.gussago.bs.it,protocollo@comune.gussago.bs.it,http://comune.gussago.bs.it,https://it.wikipedia.org/wiki/Gussago,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017081.gif
Idro,017082,45.737745,10.478326,Brescia,BS,Lombardia,3,25074,744080177,protocollo@pec.comune.idro.bs.it,segreteria@comune.idro.bs.it,http://comune.idro.bs.it,https://it.wikipedia.org/wiki/Idro,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017082.jpg
Incudine,017083,46.2203,10.358759,Brescia,BS,Lombardia,3,25040,963460175,protocollo@pec.comune.incudine.bs.it,info@comune.incudine.bs.it,http://comune.incudine.bs.it,https://it.wikipedia.org/wiki/Incudine,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017083.gif
Irma,017084,45.771317,10.284168,Brescia,BS,Lombardia,3,25061,83001270178,protocollo@pec.comune.irma.bs.it,segreteria@comune.irma.bs.it,http://comune.irma.bs.it,https://it.wikipedia.org/wiki/Irma,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017084.gif
Iseo,017085,45.659555,10.051049,Brescia,BS,Lombardia,3,25049,451300172,protocollo@pec.comune.iseo.bs.it,,http://comune.iseo.bs.it,https://it.wikipedia.org/wiki/Iseo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017085.jpg
Isorella,017086,45.309153,10.322164,Brescia,BS,Lombardia,3,25010,85000670175,protocollo@pec.comune.isorella.bs.it,protocollo@comune.isorella.bs.it,http://comune.isorella.bs.it,https://it.wikipedia.org/wiki/Isorella,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017086.jpg
Lavenone,017087,45.739689,10.43907,Brescia,BS,Lombardia,3,25074,782030175,protocollo@pec.comune.lavenone.bs.it,info@comune.lavenone.bs.it,http://comune.lavenone.bs.it,https://it.wikipedia.org/wiki/Lavenone,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017087.png
Leno,017088,45.367012,10.218452,Brescia,BS,Lombardia,3,25024,88001410179,protocollo@pec.comune.leno.bs.it,,http://comune.leno.bs.it,https://it.wikipedia.org/wiki/Leno,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017088.jpg
Limone sul Garda,017089,45.814119,10.791579,Brescia,BS,Lombardia,3,25010,826220170,protocollo@pec.comune.limonesulgarda.bs.it,,http://comune.limonesulgarda.bs.it,https://it.wikipedia.org/wiki/Limone_sul_Garda,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017089.jpg
Lodrino,017090,45.719687,10.277667,Brescia,BS,Lombardia,3,25060,878650175,protocollo@pec.comune.lodrino.bs.it,info@comune.lodrino.bs.it,http://comune.lodrino.bs.it,https://it.wikipedia.org/wiki/Lodrino,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017090.jpg
Lograto,017091,45.484238,10.053276,Brescia,BS,Lombardia,3,25030,855700175,protocollo@pec.comune.lograto.bs.it,info@comune.lograto.bs.it,http://comune.lograto.bs.it,https://it.wikipedia.org/wiki/Lograto,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017091.jpg
Lonato del Garda,017092,45.461039,10.484535,Brescia,BS,Lombardia,3,25017,832210173,protocollo@pec.comune.lonato.bs.it,,http://comune.lonato.bs.it,https://it.wikipedia.org/wiki/Lonato_del_Garda,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017092.gif
Longhena,017093,45.437678,10.059667,Brescia,BS,Lombardia,3,25030,855400172,protocollo@pec.comune.longhena.bs.it,comune.longhena@libero.it,http://comune.longhena.bs.it,https://it.wikipedia.org/wiki/Longhena,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017093.jpg
Losine,017094,45.983494,10.316163,Brescia,BS,Lombardia,3,25050,855390175,comune.losine@pec.it,info@comune.losine.bs.it,http://comune.losine.bs.it,https://it.wikipedia.org/wiki/Losine,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017094.gif
Lozio,017095,45.986103,10.26036,Brescia,BS,Lombardia,3,25040,1127210175,protocollo@pec.comune.lozio.bs.it,info@comune.lozio.bs.it,http://comune.lozio.bs.it,https://it.wikipedia.org/wiki/Lozio,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017095.gif
Lumezzane,017096,45.648258,10.264546,Brescia,BS,Lombardia,3,25065,451340178,comune.lumezzane@cert.legalmail.it,,http://comune.lumezzane.bs.it,https://it.wikipedia.org/wiki/Lumezzane,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017096.jpg
Maclodio,017097,45.476998,10.042715,Brescia,BS,Lombardia,3,25030,855730172,protocollo@pec.comune.maclodio.bs.it,,http://comune.maclodio.bs.it,https://it.wikipedia.org/wiki/Maclodio,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017097.jpg
Magasa,017098,45.781392,10.615973,Brescia,BS,Lombardia,3,25080,571420173,protocollo@pec.comune.magasa.bs.it,info@comune.magasa.bs.it,http://comune.magasa.bs.it/,https://it.wikipedia.org/wiki/Magasa,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017098.jpg
Mairano,017099,45.449179,10.079567,Brescia,BS,Lombardia,3,25030,855410171,protocollo@pec.comune.mairano.bs.it,info@comune.mairano.bs.it,http://comune.mairano.bs.it,https://it.wikipedia.org/wiki/Mairano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017099.gif
Malegno,017100,45.950602,10.273339,Brescia,BS,Lombardia,3,25053,81002270171,protocollo@pec.comune.malegno.bs.it,info@comune.malegno.bs.it,http://comune.malegno.bs.it,https://it.wikipedia.org/wiki/Malegno,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017100.jpg
Malonno,017101,46.122581,10.319212,Brescia,BS,Lombardia,3,25040,716670179,protocollo@pec.comune.malonno.bs.it,info@comune.malonno.bs.it,http://comune.malonno.bs.it,https://it.wikipedia.org/wiki/Malonno,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017101.jpg
Manerba del Garda,017102,45.556043,10.562593,Brescia,BS,Lombardia,3,25080,866400179,protocollo@pec.comune.manerbadelgarda.bs.it,ragioneria@comune.manerbadelgarda.bs.it,http://comune.manerbadelgarda.bs.it,https://it.wikipedia.org/wiki/Manerba_del_Garda,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017102.gif
Manerbio,017103,45.355777,10.13517,Brescia,BS,Lombardia,3,25025,303410179,protocollo@pec.comune.manerbio.bs.it,protocollo@comune.manerbio.bs.it,http://comune.manerbio.bs.it,https://it.wikipedia.org/wiki/Manerbio,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017103.gif
Marcheno,017104,45.709374,10.215326,Brescia,BS,Lombardia,3,25060,881240170,protocollo@pec.comune.marcheno.bs.it,comune@comune.marcheno.bs.it,http://comune.marcheno.bs.it,https://it.wikipedia.org/wiki/Marcheno,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017104.gif
Marmentino,017105,45.75545,10.287315,Brescia,BS,Lombardia,3,25060,83001250170,protocollo@pec.comune.marmentino.bs.it,protocollo@comune.marmentino.bs.it,http://comune.marmentino.bs.it,https://it.wikipedia.org/wiki/Marmentino,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017105.jpg
Marone,017106,45.736086,10.093762,Brescia,BS,Lombardia,3,25054,80015730171,protocollo@pec.comune.marone.bs.it,info@comune.marone.bs.it,http://comune.marone.bs.it,https://it.wikipedia.org/wiki/Marone,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017106.jpg
Mazzano,017107,45.518804,10.354162,Brescia,BS,Lombardia,3,25080,855610176,protocollo@pec.comune.mazzano.bs.it,segreteria@comune.mazzano.bs.it,http://comune.mazzano.bs.it,https://it.wikipedia.org/wiki/Mazzano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017107.jpg
Milzano,017108,45.273575,10.199273,Brescia,BS,Lombardia,3,25020,898310172,info@cert.comune.milzano.bs.it,,http://comune.milzano.bs.it,https://it.wikipedia.org/wiki/Milzano,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017108.gif
Moniga del Garda,017109,45.528523,10.537573,Brescia,BS,Lombardia,3,25080,842990178,protocollo@pec.comune.monigadelgarda.bs.it,segreteria@comune.monigadelgarda.bs.it,http://comune.monigdelgarda.it,https://it.wikipedia.org/wiki/Moniga_del_Garda,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017109.gif
Monno,017110,46.211571,10.339878,Brescia,BS,Lombardia,3,25040,725380174,protocollo@pec.comune.monno.bs.it,info@comune.monno.bs.it,http://comune.monno.bs.it,https://it.wikipedia.org/wiki/Monno,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017110.jpg
Monte Isola,017111,45.716536,10.080176,Brescia,BS,Lombardia,3,25050,830780177,protocollo@cert.comune.monteisola.bs.it,finanziario@comune.monteisola.bs.it,http://comune.monteisola.bs.it,https://it.wikipedia.org/wiki/Monte_Isola,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017111.png
Monticelli Brusati,017112,45.63219,10.09857,Brescia,BS,Lombardia,3,25040,841590177,protocollo@pec.comune.monticellibrusati.bs.it,franca.buffoli@comune.monticellibrusati.bs.it,http://comune.monticellibrusati.bs.it,https://it.wikipedia.org/wiki/Monticelli_Brusati,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017112.jpg
Montichiari,017113,45.415181,10.390675,Brescia,BS,Lombardia,3,25018,645400177,ufficio.protocollo@cert.montichiari.it,,http://montichiari.it,https://it.wikipedia.org/wiki/Montichiari,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017113.gif
Montirone,017114,45.44638,10.228771,Brescia,BS,Lombardia,3,25010,80012470177,protocollo@pec.comune.montirone.bs.it,comune.montirone@comune.montirone.bs.it,http://comune.montirone.bs.it,https://it.wikipedia.org/wiki/Montirone,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017114.png
Mura,017115,45.71398,10.34365,Brescia,BS,Lombardia,3,25070,852110170,protocollo@pec.comune.mura.bs.it,info@comune.mura.bs.it,http://comune.mura.bs.it,https://it.wikipedia.org/wiki/Mura,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017115.jpg
Muscoline,017116,45.562485,10.461874,Brescia,BS,Lombardia,3,25080,850440173,protocollocomunedimuscoline@legal.intred.it,segreteria@comune.muscoline.bs.it,http://comune.muscoline.bs.,https://it.wikipedia.org/wiki/Muscoline,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017116.gif
Nave,017117,45.587727,10.289235,Brescia,BS,Lombardia,3,25075,80008790174,protocollo@pec.comune.nave.bs.it,,http://comune.nave.bs.it,https://it.wikipedia.org/wiki/Nave,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017117.jpg
Niardo,017118,45.975994,10.333263,Brescia,BS,Lombardia,3,25050,81002370179,comune.niardo@pec.regione.lombardia.it,,http://comune.niardo.bs.it,https://it.wikipedia.org/wiki/Niardo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017118.jpg
Nuvolento,017119,45.545784,10.386772,Brescia,BS,Lombardia,3,25080,666520176,protocollo@pec.comune.nuvolento.bs.it,,http://comune.nuvolento.bs.it,https://it.wikipedia.org/wiki/Nuvolento,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017119.jpg
Nuvolera,017120,45.532183,10.369172,Brescia,BS,Lombardia,3,25080,80013950177,protocollo@pec.comune.nuvolera.bs.it,,http://comune.nuvolera.bs.it,https://it.wikipedia.org/wiki/Nuvolera,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017120.gif
Odolo,017121,45.64685,10.388448,Brescia,BS,Lombardia,3,25076,639430172,protocollo@pec.comune.odolo.bs.it,ufficio.ragioneria@comune.odolo.bs.it,http://comune.odolo.bs.it,https://it.wikipedia.org/wiki/Odolo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017121.gif
Offlaga,017122,45.386133,10.117457,Brescia,BS,Lombardia,3,25020,88000970173,protocollo@cert.comune.offlaga.bs.it,ufficio.ragioneria@comune.offlaga.bs.it,http://comune.offlaga.bs.it,https://it.wikipedia.org/wiki/Offlaga,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017122.jpg
Ome,017123,45.627283,10.121365,Brescia,BS,Lombardia,3,25050,841600174,protocollo@pec.comune.ome.bs.it,,http://comune.ome.bs.it,https://it.wikipedia.org/wiki/Ome,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017123.jpg
Ono San Pietro,017124,46.016895,10.328362,Brescia,BS,Lombardia,3,25040,968280172,protocollo@pec.comune.ono-san-pietro.bs.it,info@comune.ono-san-pietro.bs.it,http://comune.ono-san-pietro.bs.it,https://it.wikipedia.org/wiki/Ono_San_Pietro,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017124.png
Orzinuovi,017125,45.403976,9.921564,Brescia,BS,Lombardia,3,25034,850450172,protocollo@pec.comune.orzinuovi.bs.it,,http://comune.orzinuovi.bs.it,https://it.wikipedia.org/wiki/Orzinuovi,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017125.jpg
Orzivecchi,017126,45.42066,9.961729,Brescia,BS,Lombardia,3,25030,86000350172,protocollo@pec.comune.orzivecchi.bs.it,protocollo@comune.orzivecchi.bs.it,http://comune.orzivecchi.bs.it,https://it.wikipedia.org/wiki/Orzivecchi,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017126.png
Ospitaletto,017127,45.555222,10.073946,Brescia,BS,Lombardia,3,25035,796430171,comune.ospitaletto@legalmail.it,,http://comune.ospitaletto.bs.it,https://it.wikipedia.org/wiki/Ospitaletto,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017127.gif
Ossimo,017128,45.946192,10.230561,Brescia,BS,Lombardia,3,25050,975860172,info.comune.ossimo@pec.regione.lombardia.it,info@comune.ossimo.bs.it,http://comune.ossimo.bs.it,https://it.wikipedia.org/wiki/Ossimo,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017128.gif
Padenghe sul Garda,017129,45.509584,10.506376,Brescia,BS,Lombardia,3,25080,855780177,comune.padenghesulgarda@legalmail.it,,http://comune.padenghesulgarda.bs.it,https://it.wikipedia.org/wiki/Padenghe_sul_Garda,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017129.gif
Paderno Franciacorta,017130,45.589187,10.076411,Brescia,BS,Lombardia,3,25050,454430174,protocollo@pec.comune.padernofranciacorta.bs.it,info@comune.padernofranciacorta.bs.it,http://comune.padernofranciacorta.bs.it,https://it.wikipedia.org/wiki/Paderno_Franciacorta,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017130.jpg
Paisco Loveno,017131,46.078305,10.290733,Brescia,BS,Lombardia,3,25050,589400175,protocollo@pec.comune.paisco-loveno.bs.it,info@comune.paisco-loveno.bs.it,http://comune.paisco-loveno.bs.it,https://it.wikipedia.org/wiki/Paisco_Loveno,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017131.jpg
Paitone,017132,45.553076,10.401255,Brescia,BS,Lombardia,3,25080,666540174,protocollo@pec.comune.paitone.bs.it,,http://comune.paitone.bs.it,https://it.wikipedia.org/wiki/Paitone,https://raw.githubusercontent.com/opendatasicilia/comuni-italiani/main/img/stemmi_cod_istat/017132.gif
